Name,Team,Name,Season,PA,wOBA,OPS,GB%,LD%,Hard%,BB%,K%,NameASCII,PlayerId,MLBAMID
James McCann,- - -,James McCann,2018,1278,0.288311314,0.665913027,0.451690821,0.211352657,0.34647551,0.0571205,0.276212832,James McCann,12859,543510
Javier Báez,- - -,Javier Báez,2018,2379,0.306457209,0.722989699,0.489456869,0.176996805,0.32063492,0.038251366,0.286254728,Javier Baez,12979,595879
Jean Segura,- - -,Jean Segura,2018,1987,0.3041977,0.695332712,0.54481434,0.187580025,0.28389561,0.056366381,0.139909411,Jean Segura,5933,516416
Jedd Gyorko,- - -,Jedd Gyorko,2018,428,0.29943792,0.683451075,0.368421052,0.2,0.35789474,0.093457943,0.233644859,Jedd Gyorko,10816,576397
Jeff Mathis,- - -,Jeff Mathis,2018,368,0.214657777,0.489315932,0.344497607,0.239234449,0.32568807,0.0625,0.345108695,Jeff Mathis,3448,425772
Jeremy Peña,HOU,Jeremy Peña,2022,865,0.291586318,0.665785137,0.515410958,0.188356164,0.27824621,0.056647398,0.240462427,Jeremy Pena,21636,665161
Jesús Aguilar,- - -,Jesús Aguilar,2018,1610,0.325634638,0.761976234,0.344545454,0.222727272,0.36454545,0.081366459,0.221118012,Jesus Aguilar,11342,542583
Jo Adell,LAA,Jo Adell,2020,402,0.274740426,0.626568364,0.442982456,0.20614035,0.28820961,0.05721393,0.358208955,Jo Adell,20220,666176
Joey Bart,SFG,Joey Bart,2020,326,0.289790406,0.644286939,0.448863636,0.21590909,0.33898305,0.076687116,0.35582822,Joey Bart,21524,663698
Joey Meneses,WSN,Joey Meneses,2022,634,0.321400184,0.742423916,0.492374727,0.200435729,0.32897603,0.061514195,0.209779179,Joey Meneses,14366,608841
Joey Wiemer,MIL,Joey Wiemer,2023,289,0.258607117,0.567653261,0.485549132,0.109826589,0.29479769,0.107266435,0.276816608,Joey Wiemer,27690,686894
John Hicks,- - -,John Hicks,2018,484,0.274780205,0.646814984,0.418238993,0.179245283,0.39440994,0.039256198,0.295454545,John Hicks,12547,543308
Jon Berti,- - -,Jon Berti,2018,1112,0.310552191,0.700338907,0.541944074,0.211717709,0.28269485,0.09442446,0.210431654,Jon Berti,12037,542932
